,spp,lon,lat
577,v_tucanorum,-39.239444,-16.559722
578,v_tucanorum,-50.2261,-20.6439
579,v_tucanorum,-57,-25
580,v_tucanorum,-44.371292,-18.506597
581,v_tucanorum,-46.41972,-23.89
582,v_tucanorum,-45.986111,-15.2625
583,v_tucanorum,-59,-21
584,v_tucanorum,-60.76666,-14.66666
585,v_tucanorum,-40.83917,-14.86611
586,v_tucanorum,-55.929878,-13.163117
587,v_thyrsoidea,-41.545833,-13.302778
588,v_thyrsoidea,-41.545833,-13.302778
589,v_thyrsoidea,-46.634167,-20.940528
590,v_thyrsoidea,-42.183333,-16.2
591,v_thyrsoidea,-43.731152,-19.046644
592,v_thyrsoidea,-48.8,-15.8
593,v_thyrsoidea,-47.496389,-13.961667
594,v_thyrsoidea,-44.200278,-18.715556
595,v_thyrsoidea,-45.783333,-13.6575
596,v_thyrsoidea,-44.340972,-20.12
597,v_thyrsoidea,-41.416667,-12.433333
598,v_thyrsoidea,-44.808333,-16.595278
599,v_thyrsoidea,-41.208056,-11.591389
600,v_thyrsoidea,-47.9,-15.73
601,v_thyrsoidea,-52.8731,-10.8339
602,v_thyrsoidea,-42.739444,-15.601389
603,v_thyrsoidea,-40.516667,-11.333333
604,v_thyrsoidea,-46,-15.364722
605,v_thyrsoidea,-38.316667,-12.683333
606,v_thyrsoidea,-52.253333,-16.6375
607,v_thyrsoidea,-43.966667,-20.3
608,v_thyrsoidea,-38.99667,-14.27778
609,v_thyrsoidea,-44.197778,-14.234722
610,v_thyrsoidea,-43.196528,-17.97925
611,v_thyrsoidea,-45.782778,-18.086944
612,v_thyrsoidea,-46,-11.45
613,v_thyrsoidea,-41.333,-10.367
614,v_thyrsoidea,-44.966667,-12.35
615,v_thyrsoidea,-42.85,-14.216667
616,v_thyrsoidea,-39.409167,-7.234444
