"","spp","lat","lon","species_original"
"188","Elaenia cristata",5.449173,-55.164692,"Elaenia cristata Pelzeln, 1868"
"189","Elaenia cristata",5.449318,-55.168552,"Elaenia cristata Pelzeln, 1868"
"190","Elaenia cristata",5.449664,-55.169449,"Elaenia cristata Pelzeln, 1868"
"191","Elaenia cristata",5.449664,-55.169449,"Elaenia cristata Pelzeln, 1868"
"192","Elaenia cristata",5.449318,-55.168552,"Elaenia cristata Pelzeln, 1868"
"193","Elaenia cristata",5.404509,-53.10754,"Elaenia cristata Pelzeln, 1868"
"194","Elaenia cristata",4.948452,-52.434326,"Elaenia cristata Pelzeln, 1868"
"195","Elaenia cristata",-20.217766,-46.477543,"Elaenia cristata Pelzeln, 1868"
"196","Elaenia cristata",-20.248972,-46.364368,"Elaenia cristata Pelzeln, 1868"
"197","Elaenia cristata",-19.376961,-43.545361,"Elaenia cristata Pelzeln, 1868"
"198","Elaenia cristata",-19.171371,-43.714172,"Elaenia cristata Pelzeln, 1868"
"199","Elaenia cristata",-20.248972,-46.364368,"Elaenia cristata Pelzeln, 1868"
"200","Elaenia cristata",-19.171371,-43.714172,"Elaenia cristata Pelzeln, 1868"
"201","Elaenia cristata",-20.242228,-46.583542,"Elaenia cristata Pelzeln, 1868"
"202","Elaenia cristata",-15.797515,-47.891887,"Elaenia cristata Pelzeln, 1868"
"203","Elaenia cristata",-20.059214,-44.013615,"Elaenia cristata Pelzeln, 1868"
"204","Elaenia cristata",-19.999928,-43.997528,"Elaenia cristata Pelzeln, 1868"
"205","Elaenia cristata",-19.27911,-44.879086,"Elaenia cristata Pelzeln, 1868"
"206","Elaenia cristata",-18.969652,-44.844475,"Elaenia cristata Pelzeln, 1868"
"207","Elaenia cristata",-19.964251,-43.911736,"Elaenia cristata Pelzeln, 1868"
"208","Elaenia cristata",-15.465298,-45.97728,"Elaenia cristata Pelzeln, 1868"
"209","Elaenia cristata",-15.465298,-45.97728,"Elaenia cristata Pelzeln, 1868"
"210","Elaenia cristata",-12.475369,-41.455948,"Elaenia cristata Pelzeln, 1868"
"211","Elaenia cristata",-20.297338,-46.522686,"Elaenia cristata Pelzeln, 1868"
"212","Elaenia cristata",-12.482512,-41.449745,"Elaenia cristata Pelzeln, 1868"
"213","Elaenia cristata",-15.408869,-55.832235,"Elaenia cristata Pelzeln, 1868"
"214","Elaenia cristata",-15.92055,-47.989626,"Elaenia cristata Pelzeln, 1868"
"215","Elaenia cristata",-18.989448,-44.828515,"Elaenia cristata Pelzeln, 1868"
"216","Elaenia cristata",-15.362897,-55.768092,"Elaenia cristata Pelzeln, 1868"
"217","Elaenia cristata",-15.797515,-47.891887,"Elaenia cristata Pelzeln, 1868"
"218","Elaenia cristata",-19.96294,-43.919707,"Elaenia cristata Pelzeln, 1868"
"219","Elaenia cristata",-9.448708,-35.541663,"Elaenia cristata Pelzeln, 1868"
"220","Elaenia cristata",-5.867365,-35.221865,"Elaenia cristata Pelzeln, 1868"
"221","Elaenia cristata",-15.438032,-55.726238,"Elaenia cristata Pelzeln, 1868"
"222","Elaenia cristata",-15.334468,-55.787777,"Elaenia cristata Pelzeln, 1868"
"223","Elaenia cristata",-15.363545,-55.779383,"Elaenia cristata Pelzeln, 1868"
"224","Elaenia cristata",-15.335945,-55.786441,"Elaenia cristata Pelzeln, 1868"
"225","Elaenia cristata",3.773802,-61.722155,"Elaenia cristata Pelzeln, 1868"
"226","Elaenia cristata",-20.759187,-44.480921,"Elaenia cristata Pelzeln, 1868"
"227","Elaenia cristata",-5.850349,-35.226625,"Elaenia cristata Pelzeln, 1868"
"228","Elaenia cristata",3.817581,-67.880432,"Elaenia cristata Pelzeln, 1868"
"229","Elaenia cristata",-5.850349,-35.226625,"Elaenia cristata Pelzeln, 1868"
"230","Elaenia cristata",-6.9911,-35.077839,"Elaenia cristata Pelzeln, 1868"
"231","Elaenia cristata",-18.952983,-44.828722,"Elaenia cristata Pelzeln, 1868"
"232","Elaenia cristata",5.455716,-55.161282,"Elaenia cristata Pelzeln, 1868"
"233","Elaenia cristata",-6.990418,-35.078212,"Elaenia cristata Pelzeln, 1868"
"234","Elaenia cristata",5.437282,-55.207226,"Elaenia cristata Pelzeln, 1868"
"235","Elaenia cristata",5.44749,-55.184929,"Elaenia cristata Pelzeln, 1868"
"236","Elaenia cristata",5.44749,-55.184929,"Elaenia cristata Pelzeln, 1868"
"237","Elaenia cristata",5.473189,-55.17564,"Elaenia cristata Pelzeln, 1868"
"238","Elaenia cristata",5.437282,-55.207226,"Elaenia cristata Pelzeln, 1868"
"239","Elaenia cristata",5.473189,-55.17564,"Elaenia cristata Pelzeln, 1868"
"240","Elaenia cristata",-19.962183,-43.919605,"Elaenia cristata Pelzeln, 1868"
"241","Elaenia cristata",-16.852457,-43.034542,"Elaenia cristata Pelzeln, 1868"
"242","Elaenia cristata",3.946731,-59.26527,"Elaenia cristata Pelzeln, 1868"
"243","Elaenia cristata",-16.29849,-47.82211,"Elaenia cristata Pelzeln, 1868"
"244","Elaenia cristata",-12.645099,-41.567905,"Elaenia cristata Pelzeln, 1868"
"245","Elaenia cristata",-20.116861,-43.890846,"Elaenia cristata Pelzeln, 1868"
"246","Elaenia cristata",-12.645099,-41.567905,"Elaenia cristata Pelzeln, 1868"
"247","Elaenia cristata",-20.250603,-46.495514,"Elaenia cristata Pelzeln, 1868"
"248","Elaenia cristata",5.108128,-60.829926,"Elaenia cristata Pelzeln, 1868"
"249","Elaenia cristata",-16.29849,-47.82211,"Elaenia cristata Pelzeln, 1868"
"250","Elaenia cristata",1.271005,-70.20196,"Elaenia cristata Pelzeln, 1868"
"251","Elaenia cristata",-14.408298,-42.54802,"Elaenia cristata Pelzeln, 1868"
"252","Elaenia cristata",5.61736,-61.36389,"Elaenia cristata Pelzeln, 1868"
"253","Elaenia cristata",-19.865528,-47.44598,"Elaenia cristata Pelzeln, 1868"
"254","Elaenia cristata",-12.661171,-41.5626,"Elaenia cristata Pelzeln, 1868"
"255","Elaenia cristata",-12.477224,-41.448196,"Elaenia cristata Pelzeln, 1868"
"256","Elaenia cristata",-16.29849,-47.82211,"Elaenia cristata Pelzeln, 1868"
"257","Elaenia cristata",-19.307,-43.60114,"Elaenia cristata Pelzeln, 1868"
"258","Elaenia cristata",-11.058532,-65.749275,"Elaenia cristata Pelzeln, 1868"
"259","Elaenia cristata",-4.634657,-37.503822,"Elaenia cristata Pelzeln, 1868"
"260","Elaenia cristata",-12.474724,-41.454853,"Elaenia cristata Pelzeln, 1868"
"261","Elaenia cristata",-12.64277,-41.566788,"Elaenia cristata Pelzeln, 1868"
"262","Elaenia cristata",-4.634657,-37.503822,"Elaenia cristata Pelzeln, 1868"
"263","Elaenia cristata",-19.227968,-44.91312,"Elaenia cristata Pelzeln, 1868"
"264","Elaenia cristata",-14.190137,-47.564415,"Elaenia cristata Pelzeln, 1868"
"265","Elaenia cristata",-12.966629,-38.413548,"Elaenia cristata Pelzeln, 1868"
"266","Elaenia cristata",-15.876066,-47.83233,"Elaenia cristata Pelzeln, 1868"
"267","Elaenia cristata",-19.865528,-47.44598,"Elaenia cristata Pelzeln, 1868"
"268","Elaenia cristata",-16.29849,-47.82211,"Elaenia cristata Pelzeln, 1868"
"269","Elaenia cristata",-9.932417,-40.614746,"Elaenia cristata Pelzeln, 1868"
"270","Elaenia cristata",-16.223082,-67.73938,"Elaenia cristata Pelzeln, 1868"
"271","Elaenia cristata",-12.645099,-41.567905,"Elaenia cristata Pelzeln, 1868"
"272","Elaenia cristata",-19.020845,-46.78305,"Elaenia cristata Pelzeln, 1868"
"273","Elaenia cristata",-12.474724,-41.454853,"Elaenia cristata Pelzeln, 1868"
"274","Elaenia cristata",-19.307,-43.60114,"Elaenia cristata Pelzeln, 1868"
"275","Elaenia cristata",-19.925108,-46.823288,"Elaenia cristata Pelzeln, 1868"
"276","Elaenia cristata",-7.408793,-39.838707,"Elaenia cristata Pelzeln, 1868"
"277","Elaenia cristata",-19.366358,-44.866764,"Elaenia cristata Pelzeln, 1868"
"278","Elaenia cristata",-12.64277,-41.566788,"Elaenia cristata Pelzeln, 1868"
"279","Elaenia cristata",4.165954,-59.05888,"Elaenia cristata Pelzeln, 1868"
"280","Elaenia cristata",3.812102,-67.84297,"Elaenia cristata Pelzeln, 1868"
"281","Elaenia cristata",5.108128,-60.829926,"Elaenia cristata Pelzeln, 1868"
"282","Elaenia cristata",-16.92316,-42.99157,"Elaenia cristata Pelzeln, 1868"
"283","Elaenia cristata",-19.307,-43.60114,"Elaenia cristata Pelzeln, 1868"
"284","Elaenia cristata",5.108128,-60.829926,"Elaenia cristata Pelzeln, 1868"
"285","Elaenia cristata",5.437156,-55.207684,"Elaenia cristata Pelzeln, 1868"
"286","Elaenia cristata",-16.92316,-42.99157,"Elaenia cristata Pelzeln, 1868"
"287","Elaenia cristata",-19.676775,-47.069187,"Elaenia cristata Pelzeln, 1868"
"288","Elaenia cristata",5.437156,-55.207684,"Elaenia cristata Pelzeln, 1868"
"289","Elaenia cristata",-19.227968,-44.91312,"Elaenia cristata Pelzeln, 1868"
"290","Elaenia cristata",5.437156,-55.207684,"Elaenia cristata Pelzeln, 1868"
"291","Elaenia cristata",-12.661056,-41.562523,"Elaenia cristata Pelzeln, 1868"
"292","Elaenia cristata",-12.768854,-41.528217,"Elaenia cristata Pelzeln, 1868"
"293","Elaenia cristata",-13.048635,-41.472984,"Elaenia cristata Pelzeln, 1868"
"294","Elaenia cristata",-12.994495,-41.385555,"Elaenia cristata Pelzeln, 1868"
"295","Elaenia cristata",-13.002308,-41.39196,"Elaenia cristata Pelzeln, 1868"
