species,lon,lat,n,
529,Miconia albicans,-74.375627,-9.163761,1
530,Miconia albicans,-74.14,-9.1839,1
531,Miconia albicans,-64.360917,-8.657361,1
532,Miconia albicans,-61.683611,-8.451111,1
533,Miconia albicans,-59.120833,-8.997222,1
534,Miconia albicans,-54.9694445,-8.7294445,1
535,Miconia albicans,-49.883333,-9.383333,1
536,Miconia albicans,-48.96,-9.18,1
537,Miconia albicans,-47.75,-8.566667,1
538,Miconia albicans,-46.641111,-8.997222,1
539,Miconia albicans,-45.8,-8.433333,1
540,Miconia albicans,-38.25,-9.201944,1
541,Miconia albicans,-38.163889,-9.126111,1
542,Miconia albicans,-36.961111,-8.433889,1
543,Miconia albicans,-35.50222222,-9.201388889,1
544,Miconia albicans,-35.018611,-8.526111,1
545,Miconia albicans,-63.166667,-7.516667,1
546,Miconia albicans,-49.496944,-8.343333,1
547,Miconia albicans,-47.265,-7.82,1
548,Miconia albicans,-39.333167,-7.398306,1
549,Miconia albicans,-39.186944,-7.474722,1
550,Miconia albicans,-36.392222,-8.2075,1
551,Miconia albicans,-36,-8.31,1
552,Miconia albicans,-34.965,-8.071111,1
553,Miconia albicans,-79.8333333,-6.7666667,1
554,Miconia albicans,-77.4816667,-6.3944444,1
555,Miconia albicans,-76.5333333,-6.4166667,1
556,Miconia albicans,-50.335556,-6.396389,1
557,Miconia albicans,-47.4575,-7.017222,1
558,Miconia albicans,-46.166667,-6.833333,1
559,Miconia albicans,-44.476864,-6.392611,1
560,Miconia albicans,-39.494444,-7.249167,1
561,Miconia albicans,-35.262222,-6.388889,1
562,Miconia albicans,-35.13856667,-6.73845,1
563,Miconia albicans,-76.9505556,-6.0025,1
564,Miconia albicans,-50.2975,-6.015278,1
565,Miconia albicans,-47.343889,-6.01,1
566,Miconia albicans,-46.62,-5.94,1
567,Miconia albicans,-35.245833,-5.873611,1
568,Miconia albicans,-35.15694444,-6.102222222,1
569,Miconia albicans,-79.0894444,-5.0044444,1
570,Miconia albicans,-49.11778,-5.36861,1
571,Miconia albicans,-41.683333,-5,1
572,Miconia albicans,-79.6166667,-3.7166667,1
573,Miconia albicans,-79,-4.00777,1
574,Miconia albicans,-65.08583,-4.14444,1
575,Miconia albicans,-55.98333,-4.27611,1
576,Miconia albicans,-41.713831,-4.104647,1
577,Miconia albicans,-41.006306,-3.64166,1
578,Miconia albicans,-60.58333,-3.03333,1
579,Miconia albicans,-54.88444,-2.50472,1
580,Miconia albicans,-44.341839,-2.577203,1
581,Miconia albicans,-44.2333333,-2.6,1
582,Miconia albicans,-78.1869,-1.4628,1
583,Miconia albicans,-56.74472,-2.17167,1
584,Miconia albicans,-55.533333,-1.583333,1
585,Miconia albicans,-52.58167,-1.52333,1
586,Miconia albicans,-65,-0.4,1
587,Miconia albicans,-54.98333,-0.98333,1
588,Miconia albicans,-48.3775,-1.07361,1
589,Miconia albicans,-48.1417,-0.8583,1
590,Miconia albicans,-46.876306,-0.96225,1
591,Miconia albicans,-72.5,0.433333,1
592,Miconia albicans,-51.066667,0.366667,1
593,Miconia albicans,-74.28,1.08,1
594,Miconia albicans,-74.02,1.52,1
595,Miconia albicans,-60.997222,1.402222,1
596,Miconia albicans,-51.33,0.733333,1
597,Miconia albicans,-76.6601,2.48635,1
598,Miconia albicans,-75.67,2.1769,1
599,Miconia albicans,-73.84,2.2,1
600,Miconia albicans,-72.71,2.53,1
601,Miconia albicans,-61.0288889,1.6255556,1
602,Miconia albicans,-58.63333,1.65,1
603,Miconia albicans,-56.0333333,2.1,1
604,Miconia albicans,-76.71111,3.587806,1
605,Miconia albicans,-75.384944,2.886639,1
606,Miconia albicans,-75.2086111,2.9344444,1
607,Miconia albicans,-73.91,3.28,1
608,Miconia albicans,-73,3.5,1
609,Miconia albicans,-64.68333,2.96666,1
610,Miconia albicans,-59.466667,3.066667,1
611,Miconia albicans,-59.15,2.81667,1
612,Miconia albicans,-76.5,3.75,1
613,Miconia albicans,-74.6453,4.2021,1
614,Miconia albicans,-73.873222,3.812194,1
615,Miconia albicans,-72.8667,3.8811,1
616,Miconia albicans,-71.35,4.57,1
617,Miconia albicans,-67.1,3.95,1
618,Miconia albicans,-65.733333,3.733333,1
619,Miconia albicans,-64.6,3.81,1
620,Miconia albicans,-64.11666,4.45,1
621,Miconia albicans,-61.106392,4.502242,1
622,Miconia albicans,-60,4,1
623,Miconia albicans,-53.24111,3.92472,1
624,Miconia albicans,-51.802915,3.898753,1
625,Miconia albicans,-74.433333,4.966667,1
